symboling,normalized-losses,width,height,engine-size,horsepower,city-mpg,highway-mpg,price,make,fuel-type,body-style,drive-wheels,engine-location,engine-type
3,122,64.1,48.8,130,111,21,27,13495,0,1,0,2,0,0
3,122,64.1,48.8,130,111,21,27,16500,0,1,0,2,0,0
1,122,65.5,52.4,152,154,19,26,16500,0,1,2,2,0,5
2,164,66.2,54.3,109,102,24,30,13950,1,1,3,1,0,3
2,164,66.4,54.3,136,115,18,22,17450,1,1,3,0,0,3
2,122,66.3,53.1,136,110,19,25,15250,1,1,3,1,0,3
1,158,71.4,55.7,136,110,19,25,17710,1,1,3,1,0,3
1,122,71.4,55.7,136,110,19,25,18920,1,1,4,1,0,3
1,158,71.4,55.9,131,140,17,20,23875,1,1,3,1,0,3
0,122,67.9,52.0,131,160,16,22,12000,1,1,2,0,0,3
2,192,64.8,54.3,108,101,23,29,16430,2,1,3,2,0,3
0,192,64.8,54.3,108,101,23,29,16925,2,1,3,2,0,3
0,188,64.8,54.3,164,121,21,28,20970,2,1,3,2,0,3
0,188,64.8,54.3,164,121,21,28,21105,2,1,3,2,0,3
1,122,66.9,55.7,164,121,20,25,24565,2,1,3,2,0,3
0,122,66.9,55.7,209,182,16,22,30760,2,1,3,2,0,3
0,122,67.9,53.7,209,182,16,22,41315,2,1,3,2,0,3
0,122,70.9,56.3,209,182,15,20,36880,2,1,3,2,0,3
2,121,60.3,53.2,61,48,47,53,5151,3,1,2,1,0,2
1,98,63.6,52.0,90,70,38,43,6295,3,1,2,1,0,3
0,81,63.6,52.0,90,70,38,43,6575,3,1,3,1,0,3
1,118,63.8,50.8,90,68,37,41,5572,4,1,2,1,0,3
1,118,63.8,50.8,90,68,31,38,6377,4,1,2,1,0,3
1,118,63.8,50.8,98,102,24,30,7957,4,1,2,1,0,3
1,148,63.8,50.6,90,68,31,38,6229,4,1,2,1,0,3
1,148,63.8,50.6,90,68,31,38,6692,4,1,3,1,0,3
1,148,63.8,50.6,90,68,31,38,7609,4,1,3,1,0,3
1,148,63.8,50.6,98,102,24,30,8558,4,1,3,1,0,3
-1,110,64.6,59.8,122,88,24,30,8921,4,1,4,1,0,3
2,137,63.9,50.8,92,58,49,54,6479,5,1,2,1,0,3
2,137,63.9,50.8,92,76,31,38,6855,5,1,2,1,0,3
1,101,64.0,52.6,79,60,38,42,5399,5,1,2,1,0,3
1,101,64.0,52.6,92,76,30,34,6529,5,1,2,1,0,3
1,101,64.0,52.6,92,76,30,34,7129,5,1,2,1,0,3
0,110,64.0,54.5,92,76,30,34,7295,5,1,3,1,0,3
0,78,63.9,58.3,92,76,30,34,7295,5,1,4,1,0,3
0,106,65.2,53.3,110,86,27,33,7895,5,1,2,1,0,3
0,106,65.2,53.3,110,86,27,33,9095,5,1,2,1,0,3
0,85,65.2,54.1,110,86,27,33,8845,5,1,3,1,0,3
0,122,61.8,53.5,111,78,24,29,6785,6,1,3,2,0,3
1,122,63.6,52.0,90,70,38,43,10000,6,1,3,1,0,3
2,122,65.2,51.4,119,90,24,29,11048,6,1,2,2,0,3
0,145,69.6,52.8,258,176,15,19,32250,7,1,3,2,0,0
0,122,69.6,52.8,258,176,15,19,35550,7,1,3,2,0,0
0,122,70.6,47.8,326,262,13,17,36000,7,1,3,2,0,5
1,104,64.2,54.1,91,68,30,31,5195,8,1,2,1,0,3
1,104,64.2,54.1,91,68,31,38,6095,8,1,2,1,0,3
1,104,64.2,54.1,91,68,31,38,6795,8,1,2,1,0,3
1,113,64.2,54.1,91,68,31,38,6695,8,1,3,1,0,3
1,113,64.2,54.1,91,68,31,38,7395,8,1,3,1,0,3
3,150,65.7,49.6,70,101,17,23,10945,8,1,2,2,0,6
3,150,65.7,49.6,70,101,17,23,11845,8,1,2,2,0,6
3,150,65.7,49.6,70,101,17,23,13645,8,1,2,2,0,6
